,100_MIDDLE_avr_goldEarned,100_MIDDLE_avr_kill,100_MIDDLE_avr_death,100_MIDDLE_avr_assists,100_MIDDLE_avr_trueDamageDealtToChampions,100_MIDDLE_avr_damageDealtToTurrets,100_MIDDLE_avr_goldSpent,100_MIDDLE_avr_visionScore,100_MIDDLE_avr_physicalDamageDealt,100_MIDDLE_avr_totalHeal,100_MIDDLE_avr_champLevel,100_MIDDLE_avr_magicDamageDealtToChampions,100_MIDDLE_avr_wardsPlaced,100_MIDDLE_avr_goldSpent,100_TOP_avr_goldEarned,100_TOP_avr_kill,100_TOP_avr_death,100_TOP_avr_assists,100_TOP_avr_trueDamageDealtToChampions,100_TOP_avr_damageDealtToTurrets,100_TOP_avr_goldSpent,100_TOP_avr_visionScore,100_TOP_avr_physicalDamageDealt,100_TOP_avr_totalHeal,100_TOP_avr_champLevel,100_TOP_avr_magicDamageDealtToChampions,100_TOP_avr_wardsPlaced,100_TOP_avr_goldSpent,100_JUNGLE_avr_goldEarned,100_JUNGLE_avr_kill,100_JUNGLE_avr_death,100_JUNGLE_avr_assists,100_JUNGLE_avr_trueDamageDealtToChampions,100_JUNGLE_avr_damageDealtToTurrets,100_JUNGLE_avr_goldSpent,100_JUNGLE_avr_visionScore,100_JUNGLE_avr_physicalDamageDealt,100_JUNGLE_avr_totalHeal,100_JUNGLE_avr_champLevel,100_JUNGLE_avr_magicDamageDealtToChampions,100_JUNGLE_avr_wardsPlaced,100_JUNGLE_avr_goldSpent,100_ADC_avr_goldEarned,100_ADC_avr_kill,100_ADC_avr_death,100_ADC_avr_assists,100_ADC_avr_trueDamageDealtToChampions,100_ADC_avr_damageDealtToTurrets,100_ADC_avr_goldSpent,100_ADC_avr_visionScore,100_ADC_avr_physicalDamageDealt,100_ADC_avr_totalHeal,100_ADC_avr_champLevel,100_ADC_avr_magicDamageDealtToChampions,100_ADC_avr_wardsPlaced,100_ADC_avr_goldSpent,100_SUPPORT_avr_goldEarned,100_SUPPORT_avr_kill,100_SUPPORT_avr_death,100_SUPPORT_avr_assists,100_SUPPORT_avr_trueDamageDealtToChampions,100_SUPPORT_avr_damageDealtToTurrets,100_SUPPORT_avr_goldSpent,100_SUPPORT_avr_visionScore,100_SUPPORT_avr_physicalDamageDealt,100_SUPPORT_avr_totalHeal,100_SUPPORT_avr_champLevel,100_SUPPORT_avr_magicDamageDealtToChampions,100_SUPPORT_avr_wardsPlaced,100_SUPPORT_avr_goldSpent,200_MIDDLE_avr_goldEarned,200_MIDDLE_avr_kill,200_MIDDLE_avr_death,200_MIDDLE_avr_assists,200_MIDDLE_avr_trueDamageDealtToChampions,200_MIDDLE_avr_damageDealtToTurrets,200_MIDDLE_avr_goldSpent,200_MIDDLE_avr_visionScore,200_MIDDLE_avr_physicalDamageDealt,200_MIDDLE_avr_totalHeal,200_MIDDLE_avr_champLevel,200_MIDDLE_avr_magicDamageDealtToChampions,200_MIDDLE_avr_wardsPlaced,200_MIDDLE_avr_goldSpent,200_TOP_avr_goldEarned,200_TOP_avr_kill,200_TOP_avr_death,200_TOP_avr_assists,200_TOP_avr_trueDamageDealtToChampions,200_TOP_avr_damageDealtToTurrets,200_TOP_avr_goldSpent,200_TOP_avr_visionScore,200_TOP_avr_physicalDamageDealt,200_TOP_avr_totalHeal,200_TOP_avr_champLevel,200_TOP_avr_magicDamageDealtToChampions,200_TOP_avr_wardsPlaced,200_TOP_avr_goldSpent,200_JUNGLE_avr_goldEarned,200_JUNGLE_avr_kill,200_JUNGLE_avr_death,200_JUNGLE_avr_assists,200_JUNGLE_avr_trueDamageDealtToChampions,200_JUNGLE_avr_damageDealtToTurrets,200_JUNGLE_avr_goldSpent,200_JUNGLE_avr_visionScore,200_JUNGLE_avr_physicalDamageDealt,200_JUNGLE_avr_totalHeal,200_JUNGLE_avr_champLevel,200_JUNGLE_avr_magicDamageDealtToChampions,200_JUNGLE_avr_wardsPlaced,200_JUNGLE_avr_goldSpent,200_ADC_avr_goldEarned,200_ADC_avr_kill,200_ADC_avr_death,200_ADC_avr_assists,200_ADC_avr_trueDamageDealtToChampions,200_ADC_avr_damageDealtToTurrets,200_ADC_avr_goldSpent,200_ADC_avr_visionScore,200_ADC_avr_physicalDamageDealt,200_ADC_avr_totalHeal,200_ADC_avr_champLevel,200_ADC_avr_magicDamageDealtToChampions,200_ADC_avr_wardsPlaced,200_ADC_avr_goldSpent,200_SUPPORT_avr_goldEarned,200_SUPPORT_avr_kill,200_SUPPORT_avr_death,200_SUPPORT_avr_assists,200_SUPPORT_avr_trueDamageDealtToChampions,200_SUPPORT_avr_damageDealtToTurrets,200_SUPPORT_avr_goldSpent,200_SUPPORT_avr_visionScore,200_SUPPORT_avr_physicalDamageDealt,200_SUPPORT_avr_totalHeal,200_SUPPORT_avr_champLevel,200_SUPPORT_avr_magicDamageDealtToChampions,200_SUPPORT_avr_wardsPlaced,200_SUPPORT_avr_goldSpent,win
278,4279.0,1.0,3.0,1.0,0.0,384.0,2810.0,8.0,8.0,1035.0,9.0,4311.0,5.0,2810.0,16407.0,12.0,2.0,6.0,3371.0,24223.0,14308.0,12.0,12.0,18441.0,16.0,1828.0,8.0,14308.0,10641.0,7.0,6.0,9.0,4711.0,0.0,10000.0,14.0,14.0,10473.0,14.0,12096.0,2.0,10000.0,4739.0,1.0,1.0,0.0,0.0,97.0,4325.0,3.0,3.0,1087.0,8.0,162.0,4.0,4325.0,3908.0,2.0,5.0,1.0,350.0,0.0,3700.0,9.0,9.0,1929.0,6.0,0.0,8.0,3700.0,,,,,,,,,,,,,,,4630.0,1.0,0.0,2.0,230.0,788.0,3200.0,9.0,9.0,1330.0,10.0,0.0,4.0,3200.0,11228.0,3.0,7.0,11.0,965.0,1539.0,10483.0,49.0,49.0,20381.0,14.0,2980.0,5.0,10483.0,7047.0,6.0,1.0,2.0,0.0,2999.0,6700.0,9.0,9.0,1799.0,9.0,264.0,5.0,6700.0,5616.0,5.0,1.0,2.0,0.0,1312.0,4175.0,6.0,6.0,3354.0,9.0,5310.0,5.0,4175.0,0.0
279,12114,9,7,9,2648,1357,11255,20,20,3478,15,21469,11,11255,9477,1,5,1,1318,0,8950,12,12,3612,13,4473,8,8950,9153,1,7,4,479,1182,8600,36,36,7263,13,524,10,8600,12209,11,4,1,2095,1756,12125,26,26,6593,13,3708,11,12125,5474,0,6,2,0,235,5075,57,57,1026,11,4015,28,5075,9914,4,3,8,624,3740,8335,23,23,4720,14,7998,10,8335,10408,3,1,8,0,4459,8450,22,22,3967,16,4202,12,8450,7841,4,6,2,506,175,7800,17,17,7115,12,4186,8,7800,16529,16,6,4,5305,9760,15625,26,26,6741,14,3186,11,15625,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
280,9852,6,6,4,654,1464,8725,25,25,3886,12,486,10,8725,9387,3,6,4,0,7070,7825,18,18,1847,14,977,8,7825,11228,3,7,11,965,1539,10483,49,49,20381,14,2980,5,10483,18105,16,6,6,906,8585,15250,21,21,7334,16,7747,10,15250,7813,2,7,14,0,1468,6500,52,52,8880,12,4392,22,6500,12322,5,6,11,50,4234,10885,20,20,7364,14,20273,10,10885,8939,3,5,8,0,1530,8520,26,26,2522,14,7861,11,8520,3224,1,2,0,210,0,2800,3,3,1350,6,653,0,2800,9073,2,8,7,0,4037,8625,15,15,7198,13,1403,9,8625,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
281,10896,4,4,15,14,2121,10500,21,21,743,14,15496,11,10500,8573,2,5,7,56,2167,7175,15,15,8506,14,0,9,7175,14902,15,0,7,1258,5296,13375,43,43,23015,15,2074,10,13375,14154,13,2,4,3172,8985,12375,30,30,2314,14,247,10,12375,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,13108,1,2,17,25,5527,13700,30,30,3797,17,23782,10,13700,8564,5,4,7,0,2083,7725,20,20,299,13,258,8,7725,7255,3,9,2,922,0,7675,21,21,9089,12,549,6,7675,13047,8,6,14,438,7715,11600,41,41,5576,15,1022,9,11600,4954,0,7,7,0,0,4625,29,29,1111,10,3788,18,4625,1
282,14682,11,4,4,252,3609,13550,29,29,7369,17,13085,13,13550,12872,6,6,10,384,3238,12750,20,20,12718,17,8470,13,12750,13566,6,7,11,2213,0,13300,40,40,7583,17,1588,9,13300,12192,7,5,15,3460,4212,10150,27,27,2201,15,1643,8,10150,9553,1,3,30,0,263,8125,79,79,13352,15,4159,46,8125,13108,1,2,17,25,5527,13700,30,30,3797,17,23782,10,13700,19642,14,8,1,200,9749,19075,22,22,13513,18,14634,8,19075,14478,7,10,7,3509,1734,16085,37,37,21897,16,6898,14,16085,12057,1,10,10,0,4618,11550,33,33,6266,15,10202,11,11550,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
283,12047,3,4,13,0,3496,12400,27,27,2267,16,16228,14,12400,9266,2,7,10,0,1889,8125,14,14,798,14,6406,10,8125,12541,8,7,14,2752,0,11450,33,33,11980,16,5563,5,11450,13700,6,6,11,368,8289,12500,17,17,4101,16,5697,9,12500,8335,0,4,20,804,1464,7250,73,73,10924,15,3820,34,7250,12001,7,6,10,0,4395,11600,23,23,5743,15,22780,11,11600,12541,7,2,11,0,2494,12375,41,41,9898,15,3011,19,12375,10379,3,6,11,619,2703,10125,38,38,10020,14,1325,12,10125,11014,5,7,4,279,2497,10450,22,22,3956,13,2657,9,10450,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
284,12001,7,6,10,0,4395,11600,23,23,5743,15,22780,11,11600,13080,9,3,9,198,3798,10700,18,18,7766,15,19722,7,10700,9896,7,2,9,1188,2455,7875,24,24,4308,12,490,7,7875,16690,14,6,12,546,5619,14800,30,30,2384,16,1859,11,14800,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,9476,6,8,3,0,946,9075,14,14,7406,14,13005,10,9075,5565,1,1,1,0,1073,5000,7,7,3676,10,5269,5,5000,9812,4,4,10,285,518,9425,17,17,17793,14,4269,2,9425,5989,4,5,0,0,221,5850,7,7,1793,9,931,4,5850,6595,2,16,9,362,0,5250,38,38,1077,11,3806,14,5250,1
285,7359.0,0.0,3.0,5.0,0.0,0.0,7435.0,15.0,15.0,3634.0,12.0,11039.0,10.0,7435.0,982.0,0.0,1.0,0.0,194.0,0.0,650.0,0.0,0.0,170.0,3.0,0.0,0.0,650.0,16456.0,16.0,3.0,16.0,1534.0,729.0,15150.0,34.0,34.0,15443.0,18.0,1762.0,11.0,15150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1758.0,2.0,0.0,0.0,48.0,0.0,500.0,1.0,1.0,85.0,3.0,63.0,0.0,500.0,1186.0,1.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,73.0,3.0,0.0,0.0,1050.0,10378.0,6.0,2.0,8.0,5047.0,275.0,8725.0,13.0,13.0,16363.0,14.0,0.0,3.0,8725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
286,19226,20,9,12,669,3142,18640,17,17,17587,18,38023,5,18640,15577,7,6,15,32,9174,15150,33,33,6210,18,2622,13,15150,3224,1,2,0,210,0,2800,3,3,1350,6,653,0,2800,10605,5,8,4,48,2411,9575,14,14,4472,12,733,6,9575,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,12353,7,13,5,2920,2921,10675,25,25,2065,15,22753,13,10675,7115,5,0,1,0,3868,5125,4,4,2626,12,8061,3,5125,8187,3,5,10,813,0,8225,20,20,14272,12,9811,5,8225,15678,15,7,8,3532,5700,14625,33,33,5259,16,4831,9,14625,10128,4,9,20,1416,541,9100,74,74,5988,15,10624,51,9100,1
287,10416,9,3,7,476,1291,10210,20,20,2634,14,10030,11,10210,6330,2,1,1,0,1961,6000,8,8,1598,11,834,4,6000,5660,2,1,6,207,631,4635,11,11,6874,9,4819,6,4635,8514,7,2,2,110,5035,7550,5,5,1071,11,1671,4,7550,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,7246,5,2,5,568,2324,7025,12,12,1739,12,6711,5,7025,5450,0,2,0,252,1677,5300,4,4,929,10,0,3,5300,6726,6,5,0,268,0,6675,9,9,5128,9,601,1,6675,4946,0,4,3,0,1088,4350,14,14,61,10,451,5,4350,3814,0,2,4,198,0,3600,24,24,1578,7,2520,13,3600,1
288,7246,5,2,5,568,2324,7025,12,12,1739,12,6711,5,7025,13900,11,8,6,2257,5911,12955,19,19,3554,14,0,7,12955,7373,6,3,5,453,1408,5375,14,14,9647,11,8746,7,5375,7461,0,7,4,0,1515,6775,18,18,1034,10,963,7,6775,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,10072,4,7,4,1146,3297,9660,23,23,5301,14,9020,11,9660,15637,5,8,12,1160,3676,14250,27,27,6113,18,316,11,14250,6247,5,4,2,1743,0,5485,20,20,4702,10,2645,4,5485,8885,2,4,9,0,3386,7685,13,13,5357,13,510,7,7685,3138,0,4,2,0,0,2450,17,17,1349,7,1845,7,2450,1
289,6813,1,7,2,0,593,6435,14,14,28,11,6696,5,6435,9116,3,6,14,0,3646,7525,15,15,8484,14,12678,8,7525,13011,13,0,8,549,6696,12225,18,18,16435,16,16575,5,12225,18105,16,6,6,906,8585,15250,21,21,7334,16,7747,10,15250,7297,3,8,20,0,108,6200,56,56,1479,12,4506,27,6200,10308,6,10,2,794,2689,10150,22,22,4733,14,385,9,10150,11461,2,4,7,0,5026,9825,19,19,11647,15,0,6,9825,7175,3,4,0,477,59,6625,14,14,4996,11,511,8,6625,11732,11,3,9,143,5641,11700,20,20,4144,12,1689,8,11700,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
290,7852,3,2,2,860,433,7400,20,20,1436,13,6497,11,7400,8584,2,5,3,0,2918,8175,11,11,5105,12,2503,7,8175,8965,1,3,6,580,1598,8150,16,16,6314,13,408,8,8150,9823,6,8,5,4263,1983,9125,20,20,3641,11,894,6,9125,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,11298,9,1,4,0,2086,9725,34,34,5271,15,14298,11,9725,10562,5,0,3,2338,3775,9425,26,26,1187,15,234,9,9425,11922,6,8,13,1042,0,11233,47,47,19225,15,1836,9,11233,15294,8,8,13,533,4861,14400,21,21,9226,17,4544,8,14400,6420,2,5,15,434,127,6000,46,46,0,10,4562,27,6000,0
291,6958,0,4,3,536,1561,6650,22,22,1090,12,6562,5,6650,6961,2,4,3,898,769,6825,21,21,3316,11,8041,8,6825,14048,14,2,14,7073,2269,12600,17,17,12874,16,13691,7,12600,12723,7,4,14,1596,6141,11780,20,20,2221,14,0,7,11780,8571,5,4,20,0,1279,7385,60,60,6524,13,5684,31,7385,10144,5,8,3,2632,1855,9050,25,25,4217,14,119,10,9050,7568,3,4,1,0,155,7650,21,21,7716,13,7912,10,7650,8621,3,5,4,934,0,7900,37,37,15111,13,14811,2,7900,9773,4,7,5,1020,1583,8700,27,27,1892,12,760,9,8700,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
292,10436,5,3,9,120,3495,9550,26,26,1895,14,13307,9,9550,12418,3,3,8,2746,5176,10158,28,28,11073,16,5978,12,10158,5944,2,1,1,1073,4074,4500,13,13,6380,9,142,4,4500,10605,5,8,4,48,2411,9575,14,14,4472,12,733,6,9575,6802,4,2,15,504,570,6475,44,44,564,10,4024,19,6475,13958,6,10,10,1613,3581,14000,20,20,22777,18,23411,11,14000,12139,3,4,13,240,2760,9625,17,17,9496,16,2801,11,9625,9896,7,2,9,1188,2455,7875,24,24,4308,12,490,7,7875,13197,8,4,3,1708,2798,13075,22,22,4397,14,4135,10,13075,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
293,13958,6,10,10,1613,3581,14000,20,20,22777,18,23411,11,14000,14427,11,1,5,176,8176,13533,10,10,7137,17,5667,6,13533,12758,9,1,6,3751,0,10960,36,36,13544,16,10066,8,10960,11765,6,12,10,316,664,11800,14,14,2498,14,4613,6,11800,6829,0,5,10,390,931,6025,65,65,675,12,1774,26,6025,13194,6,8,13,0,1171,13360,17,17,678,16,28180,5,13360,7323,1,10,4,0,825,7050,22,22,895,12,3869,11,7050,7959,5,1,2,987,1086,6150,16,16,10558,11,7639,3,6150,13197,8,4,3,1708,2798,13075,22,22,4397,14,4135,10,13075,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
294,10416,9,3,7,476,1291,10210,20,20,2634,14,10030,11,10210,8723,5,6,4,25,644,8850,14,14,5297,14,14262,11,8850,10378,6,2,8,5047,275,8725,13,13,16363,14,0,3,8725,13197,8,4,3,1708,2798,13075,22,22,4397,14,4135,10,13075,7087,4,2,15,2274,1128,5675,43,43,533,11,910,20,5675,8661,3,6,4,1130,1739,7700,17,17,2989,13,1853,7,7700,11461,2,4,7,0,5026,9825,19,19,11647,15,0,6,9825,12868,8,7,14,1787,215,12675,24,24,10394,15,25863,7,12675,10273,7,6,4,3740,1281,8875,24,24,3757,13,344,12,8875,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
295,10341,6,8,1,1290,417,9850,9,9,6837,14,1769,7,9850,8702,3,8,2,0,1497,8775,17,17,9780,13,15770,9,8775,7628,1,10,4,232,0,7625,21,21,14068,12,5806,2,7625,7461,0,7,4,0,1515,6775,18,18,1034,10,963,7,6775,9625,5,10,14,804,0,9250,101,101,1598,13,6424,51,9250,13265,9,4,6,1162,7976,12970,18,18,4797,15,13553,10,12970,8734,3,4,8,0,1652,7675,17,17,4783,13,14463,8,7675,8384,7,8,4,503,0,8400,18,18,7475,11,0,5,8400,11732,11,3,9,143,5641,11700,20,20,4144,12,1689,8,11700,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
296,16769,12,3,9,1512,2416,15875,22,22,10372,17,23111,5,15875,14177,3,4,13,5767,8080,12550,24,24,15011,17,789,8,12550,13103,6,7,10,793,1575,12500,22,22,16170,16,0,1,12500,11144,1,7,12,231,3872,10100,27,27,4040,15,0,13,10100,8430,2,4,18,837,447,7875,67,67,10162,14,6806,43,7875,12472,9,3,5,1020,0,11950,25,25,1214,15,14561,6,11950,9613,2,2,4,390,4457,9475,19,19,6862,13,0,9,9475,13163,9,2,5,692,2845,12275,36,36,17432,15,9134,10,12275,8885,2,4,9,0,3386,7685,13,13,5357,13,510,7,7685,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
297,14769,9,12,5,2485,7191,14375,29,29,12074,16,3004,14,14375,12790,3,7,7,0,3761,12960,35,35,6927,16,5282,13,12960,14445,8,3,9,6714,0,14375,28,28,19177,18,18718,11,14375,8354,5,2,5,456,2070,6800,8,8,3515,11,0,5,6800,11174,5,10,15,1226,401,10550,89,89,16314,15,7141,32,10550,14423,11,7,11,240,5467,13100,48,48,3097,17,4536,12,13100,7653,2,5,2,0,1320,6975,11,11,266,12,8499,8,6975,17602,10,4,22,1837,4163,15925,36,36,23103,18,43177,4,15925,14450,6,5,13,136,3663,14045,36,36,5892,16,2596,15,14045,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
298,20369,32,8,3,12364,5603,21385,17,17,15588,17,24097,9,21385,5136,0,6,3,0,0,4500,14,14,224,11,2141,8,4500,3224,1,2,0,210,0,2800,3,3,1350,6,653,0,2800,13197,8,4,3,1708,2798,13075,22,22,4397,14,4135,10,13075,4503,0,3,8,554,0,3875,35,35,1916,8,3044,26,3875,6839,2,7,3,472,0,5775,5,5,2294,12,403,4,5775,5014,1,7,3,0,0,4200,4,4,961,10,3675,3,4200,10427,9,3,4,2507,770,9400,22,22,12726,13,0,4,9400,7254,2,8,1,44,0,8700,9,9,558,10,555,7,8700,8499,1,5,18,906,0,8050,103,103,8577,16,3017,50,8050,1
299,8748,4,8,1,0,1667,8485,12,12,3511,12,12349,8,8485,9613,2,2,4,390,4457,9475,19,19,6862,13,0,9,9475,7680,3,9,5,818,0,7500,13,13,11128,11,7255,4,7500,8361,3,8,2,122,1358,8480,20,20,3025,10,1946,9,8480,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,13197,11,2,9,2812,2282,12800,14,14,6170,14,2911,6,12800,8101,3,3,5,0,911,7875,26,26,1127,13,8097,12,7875,10778,9,2,15,1578,0,10575,25,25,9952,14,17804,6,10575,10446,9,3,13,960,4054,8175,22,22,8247,12,487,10,8175,3155,1,2,1,280,0,2375,17,17,338,7,1169,7,2375,0
300,9046.0,4.0,4.0,1.0,0.0,637.0,8235.0,24.0,24.0,455.0,13.0,14522.0,9.0,8235.0,16887.0,10.0,3.0,18.0,164.0,6610.0,15600.0,36.0,36.0,17347.0,18.0,7030.0,16.0,15600.0,10542.0,4.0,6.0,6.0,1208.0,0.0,9650.0,21.0,21.0,5140.0,14.0,548.0,5.0,9650.0,13770.0,14.0,2.0,4.0,318.0,7650.0,13150.0,16.0,16.0,883.0,13.0,828.0,9.0,13150.0,15515.0,17.0,7.0,14.0,5241.0,627.0,12525.0,57.0,57.0,5248.0,15.0,0.0,24.0,12525.0,,,,,,,,,,,,,,,9994.0,4.0,3.0,5.0,0.0,1207.0,9950.0,19.0,19.0,12687.0,15.0,12144.0,9.0,9950.0,13011.0,13.0,0.0,8.0,549.0,6696.0,12225.0,18.0,18.0,16435.0,16.0,16575.0,5.0,12225.0,14540.0,11.0,0.0,4.0,0.0,7021.0,14200.0,16.0,16.0,3428.0,16.0,16929.0,4.0,14200.0,8940.0,1.0,9.0,9.0,840.0,329.0,7650.0,20.0,20.0,9056.0,13.0,259.0,11.0,7650.0,0.0
301,13738,10,3,8,1510,4842,11950,28,28,7903,16,14268,12,11950,16719,17,5,5,749,5874,14625,14,14,26369,16,0,5,14625,5600,0,5,4,725,0,4350,14,14,4610,11,1422,5,4350,6924,3,5,0,220,202,5925,22,22,1402,10,2111,8,5925,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,8032,6,4,6,2270,0,7075,14,14,2166,12,8946,7,7075,10257,6,3,8,4606,8365,9915,19,19,5987,14,888,10,9915,15219,12,4,30,1015,930,13850,36,36,27479,17,25104,3,13850,10481,10,7,11,2581,2990,9675,21,21,4836,12,610,7,9675,8453,5,3,8,656,3362,6325,31,31,414,11,8166,14,6325,0
302,13738,10,3,8,1510,4842,11950,28,28,7903,16,14268,12,11950,16719,17,5,5,749,5874,14625,14,14,26369,16,0,5,14625,7466,3,2,9,487,0,5800,21,21,9489,10,592,6,5800,9460,6,2,13,0,3500,9225,8,8,3705,12,816,6,9225,8167,8,1,9,3854,1336,7550,37,37,229,11,13358,21,7550,12413,7,1,10,0,469,11450,21,21,1610,15,19086,10,11450,7790,2,6,1,1994,3353,7375,14,14,2009,12,2473,6,7375,8093,2,2,4,409,0,7850,20,20,12749,13,6645,4,7850,10481,10,7,11,2581,2990,9675,21,21,4836,12,610,7,9675,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
303,8032,6,4,6,2270,0,7075,14,14,2166,12,8946,7,7075,5890,0,5,1,0,224,4650,8,8,1506,12,6305,5,4650,14437,15,5,4,1662,1064,12860,23,23,21004,15,29136,2,12860,7030,2,6,1,0,953,6000,7,7,2222,11,0,6,6000,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,14385,4,9,11,1460,7268,13090,36,36,29397,18,22471,16,13090,13755,6,2,12,0,2403,13358,19,19,5290,16,3109,9,13358,10378,6,2,8,5047,275,8725,13,13,16363,14,0,3,8725,9334,3,2,4,920,1206,9325,30,30,953,13,0,11,9325,7433,4,4,8,0,1613,5760,46,46,3401,10,10405,20,5760,0
304,11423,6,7,13,2584,1063,7125,12,12,9004,15,5194,7,7125,12699,7,7,10,0,3209,11300,24,24,6097,17,15132,13,11300,12537,10,5,13,916,94,12025,17,17,44223,15,17199,4,12025,8145,5,5,6,100,2135,7850,14,14,1783,10,3714,8,7850,6802,4,2,15,504,570,6475,44,44,564,10,4024,19,6475,5636,1,3,1,0,0,5710,8,8,39,11,4386,6,5710,5136,0,6,3,0,0,4500,14,14,224,11,2141,8,4500,14024,13,6,4,6059,0,12350,20,20,19560,15,0,5,12350,14102,8,2,4,1299,2427,14200,34,34,7788,15,6978,10,14200,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
305,14800,10,9,9,0,4344,13190,17,17,8504,17,26554,9,13190,7965,5,0,3,0,5669,7850,16,16,1934,13,2378,7,7850,15481,18,4,11,9636,2937,12350,37,37,22264,16,0,7,12350,10484,4,8,17,0,5219,9150,18,18,476,15,13531,4,9150,12607,9,8,18,2272,1008,11160,61,61,12425,14,309,28,11160,15032,11,11,4,1679,1203,14908,10,10,10458,16,10418,5,14908,9904,0,6,3,0,2839,9938,32,32,4836,15,1042,13,9938,13375,8,8,8,1589,632,13000,32,32,21267,16,19586,6,13000,10698,4,7,10,0,1782,10375,23,23,8917,14,9852,11,10375,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,1
306,14385,4,9,11,1460,7268,13090,36,36,29397,18,22471,16,13090,12699,7,7,10,0,3209,11300,24,24,6097,17,15132,13,11300,11817,6,4,14,1358,1699,9825,34,34,15218,16,17800,5,9825,13274,11,2,6,110,12644,11975,25,25,2459,13,1126,8,11975,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,6611,1,8,9,0,518,6425,23,23,4716,12,12143,10,6425,7814,4,6,1,728,1488,7500,10,10,870,12,0,6,7500,9574,8,1,4,3104,1680,8500,18,18,10085,13,56,6,8500,7101,2,2,2,0,1751,6925,10,10,1459,11,1141,6,6925,8377,3,12,14,1654,187,8425,57,57,941,14,7084,34,8425,1
307,11423,6,7,13,2584,1063,7125,12,12,9004,15,5194,7,7125,9148,1,4,13,0,2433,7600,26,26,4765,15,686,11,7600,4020,1,1,0,68,0,3050,11,11,5877,7,252,2,3050,11732,11,3,9,143,5641,11700,20,20,4144,12,1689,8,11700,8714,4,3,22,722,0,9950,57,57,829,13,6373,28,9950,7995,4,3,7,22,148,7770,23,23,5476,12,9651,8,7770,6411,1,5,4,719,0,6250,7,7,239,12,2036,5,6250,10427,9,3,4,2507,770,9400,22,22,12726,13,0,4,9400,16784,21,5,9,1015,5407,14175,37,37,5464,15,6481,11,14175,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
308,13329,6,3,8,537,1964,12750,13,13,2521,17,19177,9,12750,6411,1,5,4,719,0,6250,7,7,239,12,2036,5,6250,12346,5,11,5,2100,516,11900,36,36,10071,16,2228,7,11900,11732,11,3,9,143,5641,11700,20,20,4144,12,1689,8,11700,8714,4,3,22,722,0,9950,57,57,829,13,6373,28,9950,15150,7,4,11,72,2335,13125,61,61,1036,17,27623,15,13125,12699,7,7,10,0,3209,11300,24,24,6097,17,15132,13,11300,14437,15,5,4,1662,1064,12860,23,23,21004,15,29136,2,12860,4353,0,3,3,0,0,3050,5,5,1098,7,1745,3,3050,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,0
309,8032,6,4,6,2270,0,7075,14,14,2166,12,8946,7,7075,8513,5,5,8,0,0,7650,9,9,7745,12,0,6,7650,8384,7,8,4,503,0,8400,18,18,7475,11,0,5,8400,4353,0,3,3,0,0,3050,5,5,1098,7,1745,3,3050,15515,17,7,14,5241,627,12525,57,57,5248,15,0,24,12525,12070,8,2,8,666,3310,11750,26,26,9831,15,14685,12,11750,8702,3,8,2,0,1497,8775,17,17,9780,13,15770,9,8775,7323,1,3,6,583,348,6700,28,28,4617,11,296,5,6700,5989,4,5,0,0,221,5850,7,7,1793,9,931,4,5850,8714,4,3,22,722,0,9950,57,57,829,13,6373,28,9950,0
