,100_MIDDLE_aggressive,100_MIDDLE_teamplayer,100_MIDDLE_leader,100_MIDDLE_resilient,100_TOP_aggressive,100_TOP_teamplayer,100_TOP_leader,100_TOP_resilient,100_JUNGLE_aggressive,100_JUNGLE_teamplayer,100_JUNGLE_leader,100_JUNGLE_resilient,100_ADC_aggressive,100_ADC_teamplayer,100_ADC_leader,100_ADC_resilient,100_SUPPORT_aggressive,100_SUPPORT_teamplayer,100_SUPPORT_leader,100_SUPPORT_resilient,200_MIDDLE_aggressive,200_MIDDLE_teamplayer,200_MIDDLE_leader,200_MIDDLE_resilient,200_TOP_aggressive,200_TOP_teamplayer,200_TOP_leader,200_TOP_resilient,200_JUNGLE_aggressive,200_JUNGLE_teamplayer,200_JUNGLE_leader,200_JUNGLE_resilient,200_ADC_aggressive,200_ADC_teamplayer,200_ADC_leader,200_ADC_resilient,200_SUPPORT_aggressive,200_SUPPORT_teamplayer,200_SUPPORT_leader,200_SUPPORT_resilient,win
410,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,True,True,True,1
411,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,0
412,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0
413,False,True,True,True,False,False,False,False,False,False,False,False,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,0
414,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,True,True,True,1
415,False,True,True,False,True,True,False,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,0
416,False,False,False,True,False,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,0
417,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,1
418,False,False,False,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,True,False,True,True,True,1
419,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,False,0
420,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1
421,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,True,True,True,False,True,False,True,True,False,True,False,False,False,False,True,True,True,0
